,Código,Cod,Nome Comercial,Div. Yeld,P/VP
481,IDVL4,"""IDVL4"",",Indusval,"0,0%","1,16"
482,IENG3,"""IENG3"",",INEPAR ENERGIA,"0,0%","0,99"
483,IENG5,"""IENG5"",",INEPAR ENERGIA,"0,0%","0,79"
484,IFCM3,"""IFCM3"",",INFRACOMM,"0,0%","4,85"
485,IGBR3,"""IGBR3"",",GRADIENTE,"0,0%","-0,0"
486,IGBR5,"""IGBR5"",",GRADIENTE,"0,0%","-0,0"
487,IGBR6,"""IGBR6"",",GRADIENTE,"0,0%","-0,0"
488,IGTA3,"""IGTA3"",",IGUATEMI,"0,9%","1,72"
489,IGTI11,"""IGTI11"",",IGUATEMI S.A,"0,0%","2,85"
490,IGTI3,"""IGTI3"",",IGUATEMI S.A,"0,2%","3,53"
491,IGUA3,"""IGUA3"",",CIA. IGUAÇU DE CAFÉ SOLÚVEL,"0,0%","-1,4"
492,IGUA5,"""IGUA5"",",CIA. IGUAÇU DE CAFÉ SOLÚVEL,"0,0%","-1,4"
493,IGUA6,"""IGUA6"",",CIA. IGUAÇU DE CAFÉ SOLÚVEL,"0,0%","-1,4"
494,ILLS4,"""ILLS4"",",LINHAS CIRCULO,"0,0%","0,00"
495,ILMD3,"""ILMD3"",",YARA BRASIL FERTILIZANTES S.A.,"0,0%","2,63"
496,ILMD4,"""ILMD4"",",YARA BRASIL FERTILIZANTES S.A.,"0,0%","2,72"
497,IMBI3,"""IMBI3"",",COMPANHIA DOCAS DE IMBITUBA,"0,0%","2,81"
498,IMBI4,"""IMBI4"",",COMPANHIA DOCAS DE IMBITUBA,"0,0%","1,96"
499,IMCH3,"""IMCH3"",",IMC HOLDINGS,"0,0%","0,59"
500,INEP3,"""INEP3"",",INEPAR S/A,"0,0%","-0,1"
501,INEP4,"""INEP4"",",INEPAR S/A,"0,0%","-0,1"
502,INHA3,"""INHA3"",",GAFISA,"0,0%","0,00"
503,INTB3,"""INTB3"",",INTELBRAS,"0,6%","5,32"
504,IRBR3,"""IRBR3"",",IRBBRASIL RE,"0,0%","0,95"
505,ITEC3,"""ITEC3"",",ITAUTEC PHILCO SA - GRUPO ITAUTEC PHILCO,"0,0%","22,0"
506,ITSA3,"""ITSA3"",",ITAÚSA,"4,8%","1,42"
507,ITSA4,"""ITSA4"",",ITAÚSA,"4,8%","1,42"
508,ITUB3,"""ITUB3"",",ITAUUNIBANCO,"3,9%","1,58"
509,ITUB4,"""ITUB4"",",ITAUUNIBANCO,"3,4%","1,80"
510,IVTT3,"""IVTT3"",",BHG,"0,0%","0,00"
511,JALL3,"""JALL3"",",JALLESMACHAD,"3,0%","2,39"
512,JBDU3,"""JBDU3"",",B TECH EQI,"0,0%","0,00"
513,JBSS3,"""JBSS3"",",JBS,"9,2%","1,77"
514,JFAB4,"""JFAB4"",",JARAGUA FABRIL,"0,0%","0,00"
515,JFEN3,"""JFEN3"",",JOÃO FORTES ENGENHARIA S.A.,"0,0%","-0,2"
516,JHSF3,"""JHSF3"",",JHSF Part,"6,4%","0,95"
517,JOPA3,"""JOPA3"",",JOSAPAR S/A,"3,2%","0,52"
518,JOPA4,"""JOPA4"",",JOSAPAR S/A,"2,7%","0,68"
519,JPSA3,"""JPSA3"",",IGUATEMI S.A,"0,3%","1,93"
520,JSLG3,"""JSLG3"",",JULIO SIMOES,"3,3%","1,53"
521,KEPL3,"""KEPL3"",",KEPLER WEBER SA,"25,8","1,82"
522,KLBN11,"""KLBN11"",",KLABIN,"1,5%","5,10"
523,KLBN3,"""KLBN3"",",KLABIN,"1,3%","5,96"
524,KLBN4,"""KLBN4"",",KLABIN,"1,6%","4,91"
525,KROT11,"""KROT11"",",COGNA,"0,0%","0,85"
526,KROT4,"""KROT4"",",COGNA,"0,0%","0,76"
527,KRSA3,"""KRSA3"",",KORA SAUDE,"0,0%","2,52"
528,KSSA3,"""KSSA3"",",KLABINSEGALL,"0,0%","1,40"
529,LAME3,"""LAME3"",",LOJAS AMERICANAS S.A.,"0,0%","1,91"
530,LAME4,"""LAME4"",",LOJAS AMERICANAS S.A.,"0,0%","1,89"
531,LAND3,"""LAND3"",",TERRASANTAPA,"0,0%","0,00"
532,LATM11,"""LATM11"",",LATAM AIRLN,"0,0%","0,02"
533,LATS3,"""LATS3"",",REXAM BEVERAGE CAN SOUTH AMERICA,"0,0%","0,00"
534,LAVV3,"""LAVV3"",",LAVVI,"12,2","0,88"
535,LCAM3,"""LCAM3"",",LOCAMERICA,"1,6%","2,76"
536,LCSA3,"""LCSA3"",",NÃO CONSTA,"0,0%","-81,"
537,LCSA4,"""LCSA4"",",NÃO CONSTA,"0,0%",-228
538,LECO3,"""LECO3"",",LECO,"0,0%","0,00"
539,LECO4,"""LECO4"",",LECO,"0,0%","2,00"
540,LETO3,"""LETO3"",",MITTO,"0,0%","-0,0"
541,LETO5,"""LETO5"",",MITTO,"0,0%","-0,1"
542,LEVE3,"""LEVE3"",",MAHLE METAL LEVE,"2,9%","2,42"
543,LEVE4,"""LEVE4"",",MAHLE METAL LEVE,"0,0%","3,32"
544,LFFE3,"""LFFE3"",",LA FONTE TELECOM S/A,"0,0%","3,26"
545,LFFE4,"""LFFE4"",",LA FONTE TELECOM S/A,"0,0%","4,08"
546,LGLO4,"""LGLO4"",",LIVRARIA DO GLOBO S/A,"0,0%","0,65"
547,LIGH3,"""LIGH3"",",LIGHT,"0,0%","0,91"
548,LIGT3,"""LIGT3"",",LIGHT SA,"3,9%","0,48"
549,LINX3,"""LINX3"",",LINX,"1,5%","4,38"
550,LIPR3,"""LIPR3"",",LIGHTPAR,"3,0%","3,82"
551,LIXC3,"""LIXC3"",",LIX DA CUNHA,"0,0%","1,52"
552,LIXC4,"""LIXC4"",",LIX DA CUNHA,"0,0%","1,26"
553,LJQQ3,"""LJQQ3"",",QUERO-QUERO,"1,4%","3,59"
554,LLIS3,"""LLIS3"",",LE LIS BLANC DEUX,"0,0%","0,88"
555,LOGG3,"""LOGG3"",",LOG COM PROP,"1,2%","0,86"
556,LOGN3,"""LOGN3"",",Log-In,"0,0%","5,45"
557,LPSB3,"""LPSB3"",",LOPES BRASIL,"0,0%","2,03"
558,LREN3,"""LREN3"",",RENNER,"1,6%","2,77"
559,LREN4,"""LREN4"",",RENNER,"0,0%","0,01"
560,LUPA3,"""LUPA3"",",LUPATECH,"0,0%","1,29"
561,LUXM3,"""LUXM3"",",TREVISA INVESTIMENTOS SA,"0,0%","0,51"
562,LUXM4,"""LUXM4"",",TREVISA INVESTIMENTOS SA,"2,0%","4,16"
563,LVTC3,"""LVTC3"",",WDC NETWORKS,"0,0%","1,57"
564,LWSA3,"""LWSA3"",",LOCAWEB,"0,0%","1,89"
565,MAGG3,"""MAGG3"",",MAGNESITA REFRATÁRIOS,"0,0%","1,32"
566,MAGS3,"""MAGS3"",",MAGNESITA S/A,"0,0%","3,13"
567,MAPT3,"""MAPT3"",",CIA MARCOPOLO,"0,0%","-5,7"
568,MAPT4,"""MAPT4"",",CIA MARCOPOLO,"0,0%","-3,3"
569,MARI3,"""MARI3"",",Marisa,"0,0%","0,76"
570,MATD3,"""MATD3"",",MATER DEI,"0,0%","3,86"
571,MBLY3,"""MBLY3"",",MOBLY,"0,0%","1,05"
572,MDIA3,"""MDIA3"",",M.DIASBRANCO,"0,9%","1,12"
573,MDNE3,"""MDNE3"",",MOURA DUBEUX,"0,0%","0,51"
574,MEAL3,"""MEAL3"",",IMC S/A,"0,0%","0,69"
575,MEDI3,"""MEDI3"",",MEDIAL SAUDE,"0,0%","1,89"
576,MELK3,"""MELK3"",",MELNICK,"6,7%","0,74"
577,MEND5,"""MEND5"",",MENDES JUNIOR ENGENHARIA S/A,"0,0%","-0,0"
578,MEND6,"""MEND6"",",MENDES JUNIOR ENGENHARIA S/A,"0,0%","-0,0"
579,MERC3,"""MERC3"",",MERCANTIL BRASIL,"0,0%","1,82"
580,MERC4,"""MERC4"",",MERCANTIL BRASIL,"4,9%","0,76"
581,MGEL3,"""MGEL3"",",MANGELS,"0,0%","-0,5"
582,MGEL4,"""MGEL4"",",MANGELS,"0,0%","-0,2"
583,MGLU3,"""MGLU3"",",MAGAZ LUIZA,"0,2%","4,04"
584,MILK33,"""MILK33"",",Laep DR3,"0,0%","-0,0"
585,MILS3,"""MILS3"",",MILLS,"3,0%","1,45"
586,MLAS3,"""MLAS3"",",MULTILASER,"0,0%","1,55"
587,MLFT4,"""MLFT4"",",IGUATEMI S.A,"0,0%","23,4"
