Código,Cod,Nome Comercial,Div. Yeld,P/VP
CTKA4,"""CTKA4"",",KARSTEN,,
CTNM3,"""CTNM3"",",COTEMINAS,,
CTNM4,"""CTNM4"",",COTEMINAS,,
CTPC3,"""CTPC3"",",CTM CITRUS SA,,
CTPC4,"""CTPC4"",",CTM CITRUS SA,,
CTSA3,"""CTSA3"",",SANTANENSE,,
CTSA4,"""CTSA4"",",SANTANENSE,,
CTSA8,"""CTSA8"",",SANTANENSE,,
CTWR3,"""CTWR3"",",BLUE TREE HOTELS,,
CURY3,"""CURY3"",",CURY S/A,,
CVCB3,"""CVCB3"",",CVC BRASIL,,
CXSE3,"""CXSE3"",",CAIXA SEGURI,,
CYRE3,"""CYRE3"",",CYRELA BRAZIL REALTY,,
CYRE4,"""CYRE4"",",CYRELA BRAZIL REALTY,,
CZLT33,"""CZLT33"",",Cosan Ltd,,
CZRS3,"""CZRS3"",",Cruzeiro Sul,,
CZRS4,"""CZRS4"",",Cruzeiro Sul,,
DAGB33,"""DAGB33"",",DUFRY AG,,
DASA3,"""DASA3"",",DIAGNOSTICOS DA AMERICA SA,,
DAYC3,"""DAYC3"",",Daycoval,,
DAYC4,"""DAYC4"",",Daycoval,,
DESK3,"""DESK3"",",DESKTOPSIGMA,,
DEXP3,"""DEXP3"",",DEXXOS PAR,,
DEXP4,"""DEXP4"",",DEXXOS PAR,,
DFVA3,"""DFVA3"",",D F VASCONCELLOS S/A O.M.A.P.,,
DFVA4,"""DFVA4"",",D F VASCONCELLOS S/A O.M.A.P.,,
DHBI3,"""DHBI3"",",DHB,,
DHBI4,"""DHBI4"",",DHB,,
DIRR3,"""DIRR3"",",Direcional Engenharia,,
DJON4,"""DJON4"",",DIJON S/A,,
DMMO3,"""DMMO3"",",DOMMO,,
DMVF3,"""DMVF3"",",D1000VFARMA,,
DOCA3,"""DOCA3"",",DOCAS S.A.,,
DOCA4,"""DOCA4"",",DOCAS S.A.,,
DOHL3,"""DOHL3"",",DOHLER,,
DOHL4,"""DOHL4"",",DOHLER,,
DOTZ3,"""DOTZ3"",",DOTZ SA,,
DPPI3,"""DPPI3"",",IPIRANGA DISTRIBUIDORA,,
DPPI4,"""DPPI4"",",IPIRANGA DISTRIBUIDORA,,
DSUL3,"""DSUL3"",",DATASUL,,
DTCY3,"""DTCY3"",",DTCOM,,
DUFB11,"""DUFB11"",",DUFRY SOUTH AMERICA LTD.,,
DUQE3,"""DUQE3"",",METALURGICA DUQUE SA,,
DUQE4,"""DUQE4"",",METALURGICA DUQUE SA,,
DURA3,"""DURA3"",",DURATEX,,
DURA4,"""DURA4"",",DURATEX,,
DXCO3,"""DXCO3"",",DEXCO,,
DXTG4,"""DXTG4"",",DIXIE TOGA,,
EALT3,"""EALT3"",",ELECTRO AÇO ALTONA S/A,,
EALT4,"""EALT4"",",ELECTRO AÇO ALTONA S/A,,
EBCO3,"""EBCO3"",",EMBRACO,,
EBCO4,"""EBCO4"",",EMBRACO,,
EBEN4,"""EBEN4"",",BANDEIRANTE,,
EBTP3,"""EBTP3"",",EMBRATEL PARTICIPAÇÕES SA,,
EBTP4,"""EBTP4"",",EMBRATEL PARTICIPAÇÕES SA,,
ECIS3,"""ECIS3"",",ECISA,,
ECIS4,"""ECIS4"",",ECISA,,
ECOR3,"""ECOR3"",",ECORODOVIAS,,
ECPR3,"""ECPR3"",",ENCORPAR,,
ECPR4,"""ECPR4"",",ENCORPAR,,
EEEL3,"""EEEL3"",",CEEE,,
EEEL4,"""EEEL4"",",CEEE,,
EGIE3,"""EGIE3"",",ENGIE BRASIL,,
EKTR3,"""EKTR3"",",ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,,
EKTR4,"""EKTR4"",",ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,,
ELCA3,"""ELCA3"",",REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,,
ELCA4,"""ELCA4"",",REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,,
ELEK3,"""ELEK3"",",ELEKEIROZ S/A,,
ELEK4,"""ELEK4"",",ELEKEIROZ S/A,,
ELET3,"""ELET3"",",ELETROBRÁS,,
ELET5,"""ELET5"",",ELETROBRÁS,,
ELET6,"""ELET6"",",ELETROBRÁS,,
ELEV3,"""ELEV3"",",ELEVA,,
ELMD3,"""ELMD3"",",ELETROMIDIA,,
ELPL3,"""ELPL3"",",AES ELETROPAULO,,
ELPL4,"""ELPL4"",",AES ELETROPAULO,,
ELPL5,"""ELPL5"",",AES ELETROPAULO,,
ELPL6,"""ELPL6"",",AES ELETROPAULO,,
ELUM3,"""ELUM3"",",ELUMA,,
ELUM4,"""ELUM4"",",ELUMA,,
EMAE4,"""EMAE4"",",EMAE,,
EMBR3,"""EMBR3"",",EMBRAER,,
ENAT3,"""ENAT3"",",ENAUTA PART,,
ENBR3,"""ENBR3"",",EDP ENERGIAS DO BRASIL S/A,,
ENER3,"""ENER3"",",ENERSUL,,
ENER5,"""ENER5"",",ENERSUL,,
ENER6,"""ENER6"",",ENERSUL,,
ENEV3,"""ENEV3"",",ENEVA,,
ENGI11,"""ENGI11"",",ENERGISA,,
ENGI3,"""ENGI3"",",ENERGISA,,
ENGI4,"""ENGI4"",",ENERGISA,,
ENJU3,"""ENJU3"",",ENJOEI,,
ENMT3,"""ENMT3"",",ENERGISA MT,,
ENMT4,"""ENMT4"",",ENERGISA MT,,
EPAR3,"""EPAR3"",",EMBPAR S/A,,
EPAR4,"""EPAR4"",",EMBPAR S/A,,
EQMA3B,"""EQMA3B"",",CEMAR,,
EQMA5B,"""EQMA5B"",",CEMAR,,
EQMA6B,"""EQMA6B"",",CEMAR,,
EQPA3,"""EQPA3"",",EQTL PARA,,
EQPA5,"""EQPA5"",",EQTL PARA,,
EQPA6,"""EQPA6"",",EQTL PARA,,
EQPA7,"""EQPA7"",",EQTL PARA,,
EQTL3,"""EQTL3"",",EQUATORIAL ENERGIA S.A.,,
ESCE3,"""ESCE3"",",ESCELSA,,
ESPA3,"""ESPA3"",",ESPACOLASER,,
ESTC11,"""ESTC11"",",YDUQS PART,,
ESTC4,"""ESTC4"",",YDUQS PART,,
ESTR3,"""ESTR3"",",ESTRELA,,
ESTR4,"""ESTR4"",",ESTRELA,,
ETER3,"""ETER3"",",ETERNIT,,
ETER4,"""ETER4"",",ETERNIT,,
EUCA3,"""EUCA3"",",EUCATEX,,
EUCA4,"""EUCA4"",",EUCATEX,,
EVEN3,"""EVEN3"",",Even,,
EZTC3,"""EZTC3"",",EZTec,,
FBMC3,"""FBMC3"",",FIBAM,,
FBMC4,"""FBMC4"",",FIBAM,,
FBRA4,"""FBRA4"",",FERTIBRÁS S/A,,
FCAP3,"""FCAP3"",",FICAP,,
FCAP4,"""FCAP4"",",FICAP,,
FESA3,"""FESA3"",",FERBASA,,
FESA4,"""FESA4"",",FERBASA,,
FFTL3,"""FFTL3"",",FOSFERTIL,,
FFTL4,"""FFTL4"",",FOSFERTIL,,
FGUI3,"""FGUI3"",",FERREIRA GUIMARAES,,
FGUI4,"""FGUI4"",",FERREIRA GUIMARAES,,
FHER3,"""FHER3"",",Fer Heringer,,
FIBR3,"""FIBR3"",",Fibria,,
FIGE3,"""FIGE3"",",INVESTIMENTOS BEMGE,,
FIGE4,"""FIGE4"",",INVESTIMENTOS BEMGE,,
FIQE3,"""FIQE3"",",UNIFIQUE,,
FLCL3,"""FLCL3"",",CATAG LEOPOLDINA,,
FLCL5,"""FLCL5"",",CATAG LEOPOLDINA,,
FLCL6,"""FLCL6"",",CATAG LEOPOLDINA,,
FLRY3,"""FLRY3"",",FLEURY,,
FRAS3,"""FRAS3"",",FRAS-LE S.A.,,
FRAS4,"""FRAS4"",",FRAS-LE S.A.,,
FRIO3,"""FRIO3"",",Metalfrio,,
FRTA3,"""FRTA3"",",POMIFRUTAS,,
FTRX3,"""FTRX3"",",FAB TECIDOS C RENAUX,,
FTRX4,"""FTRX4"",",FAB TECIDOS C RENAUX,,
GAFP3,"""GAFP3"",",CIMOB,,
GAFP4,"""GAFP4"",",CIMOB,,
GALO3,"""GALO3"",",EMEEGE ESCAPAMENTOS,,
GALO4,"""GALO4"",",EMEEGE ESCAPAMENTOS,,
GAZO3,"""GAZO3"",",GAZOLA SA INDÚSTRIA METALURGICA,,
GAZO4,"""GAZO4"",",GAZOLA SA INDÚSTRIA METALURGICA,,
GBIO33,"""GBIO33"",",BIOTOSCANA,,
GEPA3,"""GEPA3"",","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",,
GEPA4,"""GEPA4"",","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",,
GETI3,"""GETI3"",",AES TIETE SA,,
GETI4,"""GETI4"",",AES TIETE SA,,
GETT3,"""GETT3"",",GETNET BR,,
GETT4,"""GETT4"",",GETNET BR,,
GFSA3,"""GFSA3"",",GAFISA,,
GGBR3,"""GGBR3"",",GERDAU S.A.,,
GGBR4,"""GGBR4"",",GERDAU S.A.,,
GGPS3,"""GGPS3"",",GPS,,
GLOB4,"""GLOB4"",",VIA,,
GMAT3,"""GMAT3"",",GRUPO MATEUS,,
GNDI3,"""GNDI3"",",INTERMEDICA,,
GOAU3,"""GOAU3"",",METALÚRGICA GERDAU,,
GOAU4,"""GOAU4"",",METALÚRGICA GERDAU,,
GOLL4,"""GOLL4"",",GOL LINHAS AEREAS INTELIGENTES SA,,
GPAR3,"""GPAR3"",",CELGPAR,,
GPIV33,"""GPIV33"",","GP INVESTMENTS, LTD",,
GRND3,"""GRND3"",",GRENDENE SA,,
GRNL4,"""GRNL4"",",GRANÓLEO S/A,,
GSHP3,"""GSHP3"",",Generalshopp,,
GUAR3,"""GUAR3"",",GUARARAPES CONFECÇÕES,,
GUAR4,"""GUAR4"",",GUARARAPES CONFECÇÕES,,
GVTT3,"""GVTT3"",",GVT HOLDING,,
HAGA3,"""HAGA3"",",HAGA,,
HAGA4,"""HAGA4"",",HAGA,,
HAPV3,"""HAPV3"",",HAPVIDA,,
HBOR3,"""HBOR3"",",Helbor,,
HBRE3,"""HBRE3"",",HBR REALTY,,
HBSA3,"""HBSA3"",",HIDROVIAS,,
HBTS5,"""HBTS5"",",CIA HABITASUL,,
HETA3,"""HETA3"",",HERCULES S/A,,
HETA4,"""HETA4"",",HERCULES S/A,,
HGTX3,"""HGTX3"",",CIA HERING,,
HGTX4,"""HGTX4"",",CIA HERING,,
HOOT4,"""HOOT4"",",HOTEIS OTHON S.A.,,
HYPE3,"""HYPE3"",",HYPERA,,
ICPI3,"""ICPI3"",",CIMENTO ITAU CORUMBA,,
IDVL11,"""IDVL11"",",Indusval,,
IDVL3,"""IDVL3"",",Indusval,,
IDVL4,"""IDVL4"",",Indusval,,
